Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,TotalIncome_log,LoanAmount_log,EMI,Income_Loan_Ratio
LP001002,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,8.674025985443025,4.852030263919617,0.35555555555555557,45.6953125
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,8.714567550836485,4.852030263919617,0.35555555555555557,47.5859375
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,8.006367567650246,4.189654742026425,0.18333333333333332,45.45454545454545
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,8.50532301884575,4.787491742782046,0.3333333333333333,41.175
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,8.699514748210191,4.948759890378168,0.39166666666666666,42.5531914893617
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,9.170871628065816,5.58724865840025,0.7416666666666667,36.00374531835206
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,8.255568653283746,4.553876891600541,0.2638888888888889,40.51578947368421
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,8.61974977974133,5.062595033026967,0.4388888888888889,35.063291139240505
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,8.61830469278465,5.123963979403259,0.4666666666666667,32.92857142857143
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,10.077818939438902,5.855071922202427,0.9694444444444444,68.22063037249283
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,8.268731832117737,4.248495242049359,0.19444444444444445,55.714285714285715
LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,8.375629627094451,4.6913478822291435,0.30277777777777776,39.81651376146789
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,9.321792297270326,5.298317366548036,0.5555555555555556,55.895
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,8.453827315794417,4.736198448394496,0.31666666666666665,41.166666666666664
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,7.776954403322442,2.833213344056216,0.14166666666666666,140.2941176470588
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,8.507142855562735,4.8283137373023015,0.3472222222222222,39.6
LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,8.18757739559151,4.605170185988092,0.4166666666666667,35.96
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,8.163371316459912,4.330733340286331,0.2111111111111111,46.18421052631579
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,8.494333897270154,4.890349128221754,0.36944444444444446,36.744360902255636
LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,8.716044050161402,4.74493212836325,0.3194444444444444,53.04347826086956
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,8.943767262734637,4.6443908991413725,0.28888888888888886,73.65384615384616
